year,active_members,new_members,sales,profit
2001,2078058,,740060000,
2002,2210071,,735359000,
2003,2375322,,805334000,
2004,2549309,,887809000,
2005,2808730,,1022326000,
2006,3102000,,1181531000,
2007,3350000,,1342024000,
2008,3680147,,1434569000,
2009,3880297,,1455351000,
2010,4340248,15730000,1658751000,728964000
2011,4728478,,1798009000,
2012,5016298,,1930635000,
2013,5324560,,2017486000,
2014,5621200,,2217131000,
2015,6026929,20132000,2423221000,1035096000
2016,6300000,18063000,2557543000,1097110000
2017,6300000,19303000,2622776000,1140196000
2018,6500000,20079000,2781909000,1214707000
2019,7000000,21969000,3122994000,1407748000
