,Year,RecreationVisitsTotal,backcountry_total,tent_total
0,2001,70168104,1321210,2472832
1,2002,70830887,1238989,2518982
2,2003,69106269,1192097,2495445
3,2004,68961492,1065536,2361607
4,2005,69240050,1002118,2228834
5,2006,65476359,991571,2163351
6,2007,67229830,1019163,2232720
7,2008,65553619,1158392,2228489
8,2009,67897924,1181753,2379994
9,2010,69927806,1189532,2467468
10,2011,67535936,1107414,2448051
11,2012,69937256,1206332,2445483
12,2013,68064224,1136255,2302034
13,2014,72802221,1230774,2477355
14,2015,79126578,1377558,2904236
15,2016,86421280,1521510,2995209
16,2017,88222737,1477328,2797834
17,2018,86481508,1407781,2613051
18,2019,89815063,1311925,2615727
