,Tweets,id,len,date,source,likes,retweets
0,RT @NWSFlagstaff: One more day of warm to hot temperatures will occur on Wednesday. An Excessive Heat Warning continues through 8 PM MST We…,1275606903557513216,140,2020-06-24 01:49:20,Twitter for iPhone,0,4
1,"#MangumFire Update for Tuesday, June 23, 2020
Acreage 71,043 Containment 33%
Forest Closure, North Rim of the Grand… https://t.co/K1NEUAv4nJ",1275503892697137152,140,2020-06-23 19:00:00,Twitter Web App,10,3
2,"It's hot—but do you know how hot?

What many don't realize is that when the forecast calls for, say, 112°F/44°C at… https://t.co/F5qhO7O1zv",1275473698699399168,139,2020-06-23 17:00:01,Twitter Media Studio,307,112
3,"When you see a fawn on the side of the road or along the trail, do not approach—mom could be right around the corne… https://t.co/Q3nFl6teWv",1275420846798942209,140,2020-06-23 13:30:00,Twitter Media Studio,159,27
4,"Grand Canyon National Park News Release: June 22, 2020
Multiple Search and Rescue Incidents Over the Weekend Due to… https://t.co/DplUDHVTxq",1275202801451192320,140,2020-06-22 23:03:34,Twitter Web App,205,48
5,@AdamsOfLife In the shade no less! Out in the open air it's even hotter.,1275171661436706817,72,2020-06-22 20:59:50,Twitter Web App,0,0
6,RT @NWSFlagstaff: Thinking of hiking in the Grand Canyon this week? Not a good idea  for the lower elevation parts of the canyon. An Excess…,1275153742761877504,140,2020-06-22 19:48:38,Twitter for iPhone,0,36
7,"#MangumFire Update for Monday, June 22, 2020
Acreage 69,277 Containment 28%
Forest Closure, North Rim of the Grand… https://t.co/b2YkgHW7p9",1275141504089145344,139,2020-06-22 19:00:00,Twitter Web App,16,4
8,"Dangerous heat is expected across Grand Canyon this week. Remember to stay hydrated, eat salty snacks, use sunscree… https://t.co/DO1KCpZPRI",1275097398025445377,140,2020-06-22 16:04:44,Twitter Web App,211,73
9,"@HighPointsUSA Water is typically accessible at several points along the Bright Angel Trail, and at Phantom Ranch.… https://t.co/1ofKBGiOxB",1275096269946413057,139,2020-06-22 16:00:15,Twitter Web App,1,0
10,@jmichaelseyfert https://t.co/DrXRwrVli2,1275095668097380353,40,2020-06-22 15:57:52,Twitter Web App,1,0
11,@benhancockrocks Good luck!,1275088255692595200,27,2020-06-22 15:28:24,Twitter Web App,0,0
12,"Grand Canyon is an unforgiving environment. The heat inside the canyon can cause shoes to come apart, and heavy hik… https://t.co/8OfT7wrxST",1275058458237128710,140,2020-06-22 13:30:00,Twitter Media Studio,787,147
13,"Light softened by haze suggests the glow of an old painting. 
Sunset from Yaki Point, Sunday, June 21, 2020. 
Consi… https://t.co/Uot9WBnGXY",1274933746588778497,140,2020-06-22 05:14:26,Twitter Web App,761,122
14,"Did you know it's #NationalSelfieDay? Of course, #GrandCanyon has always had a way of making you contemplate your s… https://t.co/Q50edOCp8Q",1274881536735637505,140,2020-06-22 01:46:59,Twitter Web App,129,9
