ParkName,Rank,Value,PercentOfTotal
Grand Canyon NP,1,"320,032",16.42%
Lake Mead NRA,2,"219,510",11.26%
Yosemite NP,3,"155,578",7.98%
Olympic NP,4,"96,864",4.97%
Great Smoky Mountains NP,5,"94,569",4.85%
Glen Canyon NRA,6,"89,782",4.61%
Canyonlands NP,7,"77,695",3.99%
Saint Croix NSR,8,"68,164",3.50%
Mount Rainier NP,9,"47,703",2.45%
Voyageurs NP,10,"45,262",2.32%
Rocky Mountain NP,11,"41,213",2.11%
Yellowstone NP,12,"38,236",1.96%
Point Reyes NS,13,"37,151",1.91%
Grand Teton NP,14,"36,292",1.86%
Glacier NP,15,"34,759",1.78%
Shenandoah NP,16,"32,391",1.66%
Dinosaur NM,17,"30,338",1.56%
Sequoia NP,18,"29,871",1.53%
Pictured Rocks NL,19,"28,179",1.45%
North Cascades NP,20,"27,581",1.42%
Isle Royale NP,21,"26,899",1.38%
Denali NP & PRES,22,"26,211",1.34%
Channel Islands NP,23,"23,411",1.20%
Big Bend NP,24,"23,320",1.20%
Buffalo NR,25,"20,367",1.05%
Sleeping Bear Dunes NL,26,"19,287",0.99%
Zion NP,27,"18,320",0.94%
Joshua Tree NP,28,"18,184",0.93%
Kings Canyon NP,29,"15,650",0.80%
Delaware Water Gap NRA,30,"14,256",0.73%
Padre Island NS,31,"13,601",0.70%
Everglades NP,32,"12,732",0.65%
Ozark NSR,33,"11,005",0.56%
Ross Lake NRA,34,"10,056",0.52%
Big South Fork NRRA,35,"8,417",0.43%
Apostle Islands NL,36,"7,431",0.38%
Lake Chelan NRA,37,"7,398",0.38%
Kobuk Valley NP,38,"7,050",0.36%
Lassen Volcanic NP,39,"6,685",0.34%
Cape Krusenstern NM,40,"6,425",0.33%
Klondike Gold Rush NHP Alaska,41,"5,821",0.30%
Noatak NPRES,42,"5,650",0.29%
Great Sand Dunes NP & PRES,43,"4,933",0.25%
Cumberland Island NS,44,"4,495",0.23%
White Sands NP,45,"4,243",0.22%
Glacier Bay NP & PRES,46,"4,211",0.22%
Gates of the Arctic NP & PRES,47,"4,058",0.21%
Big Cypress NPRES,48,"4,026",0.21%
Capitol Reef NP,49,"4,010",0.21%
Hawaii Volcanoes NP,50,"3,658",0.19%
Redwood NP,51,"3,276",0.17%
Fire Island NS,52,"3,198",0.16%
Mammoth Cave NP,53,"3,182",0.16%
Guadalupe Mountains NP,54,"2,838",0.15%
Lake Roosevelt NRA,55,"2,649",0.14%
Badlands NP,56,"2,493",0.13%
Canaveral NS,57,"2,453",0.13%
Crater Lake NP,58,"2,436",0.12%
Cape Lookout NS,59,"2,229",0.11%
Saguaro NP,60,"2,185",0.11%
Death Valley NP,61,"1,915",0.10%
Yukon-Charley Rivers NPRES,62,"1,898",0.10%
Black Canyon of the Gunnison NP,63,"1,861",0.10%
Rio Grande W&SR,64,"1,842",0.09%
Haleakala NP,65,"1,616",0.08%
Assateague Island NS,66,"1,549",0.08%
Big Thicket NPRES,67,"1,536",0.08%
Petrified Forest NP,68,"1,451",0.07%
Bryce Canyon NP,69,"1,394",0.07%
Acadia NP,70,"1,284",0.07%
Bering Land Bridge NPRES,71,"1,123",0.06%
Blue Ridge PKWY,72,"1,089",0.06%
Congaree NP,73,881,0.05%
Canyon de Chelly NM,74,810,0.04%
Theodore Roosevelt NP,75,735,0.04%
Golden Gate NRA,76,730,0.04%
Lake Clark NP & PRES,77,686,0.04%
Catoctin Mountain Park,78,631,0.03%
Bandelier NM,79,585,0.03%
Kenai Fjords NP,80,566,0.03%
Cumberland Gap NHP,81,548,0.03%
Katmai NP & PRES,82,458,0.02%
Arches NP,83,405,0.02%
Wind Cave NP,84,369,0.02%
Curecanti NRA,85,365,0.02%
Prince William Forest Park,86,305,0.02%
Obed W&SR,87,300,0.02%
Navajo NM,88,287,0.01%
Colorado NM,89,278,0.01%
Organ Pipe Cactus NM,90,277,0.01%
Moores Creek NB,91,262,0.01%
Aniakchak NM & PRES,92,230,0.01%
Carlsbad Caverns NP,93,225,0.01%
Santa Monica Mountains NRA,94,144,0.01%
Kings Mountain NMP,95,67,0.00%
Grand Portage NM,96,57,0.00%
Craters of the Moon NM & PRES,97,50,0.00%
Great Basin NP,98,48,0.00%
Wupatki NM,99,28,0.00%
Lava Beds NM,100,27,0.00%
